	tweets	pos	neg	class
60	"Have ya ever asked your bitch for other bitches - kanye voice"" Yes"	0.155	0.443	1
61	"How u gone bring ur side bitch to a game where You know Ya gf friends at ?! "" I SWEAR!!!!!"	0.148	0.329	1
62	""" woof woof and hot soles"	0.0	0.0	0
63	"Lemmie eat a Oreo  do these dishes."" One oreo? Lol"	0.286	0.0	0
64	"bitch fuck u "" maybe you'll get better. Just"	0.191	0.48	1
65	"Fuck Red Malone man bitch ass niggah"" could you please use complete sentences?"	0.157	0.484	1
66	"Why the eggplant emoji doe?""y he say she looked like scream lmao"	0.398	0.168	0
67	"Hennessey Venom GT  "" that's one sexy bitch"	0.415	0.253	1
68	"Him seh me pussy wetter then a shower curtain....#ahmesehwetness""&ltlmao!!"	0.0	0.0	1
69	"#Eaglesnation and every #Eagles need to see that pic I just posted because that bitch just said the most racist shit"""	0.0	0.559	1
70	"Yo fuck skateboarding, all y'all some wood pushing faggots man, ball is life """	0.0	0.461	1
71	"baby monkey bathtime ""Awwwwe! This is soooo ADORABLE!"	0.392	0.0	0
72	"I ain't shit ."" Damn Skippy lol"	0.666	0.0	1
73	"u ever kill a ant on the sidewalk and think damn what if that nigga was on his way to get some pussy""No bs must b &gt30%chance"	0.085	0.407	1
74	""" 0 rings 0 mvps 0 bitches lol"	0.289	0.402	1
75	"ppl talk bad about the ghetto/hood ... but as a kid growing up, a nigga had funnnnnnn !"""	0.126	0.281	1
76	"The facts on tattoos...tattoo "" he's a pussy with not tattooing them nipples"	0.0	0.0	1
77	"Bitches be wanting to act like niggas so bad  that shit aint cuteeeee"" but niggas act like bitches.."	0.18	0.568	1
78	"Get worshiping bitch! "" woof woof"	0.198	0.405	1
79	"Wow.   I'm lost. Are those buttcheek piercings? "" yeah she's a hoe"	0.392	0.15	1
80	"Ok, sis."" She'd rather be a broke bitch? *shrugs* she'll have to tell me how it works for her"	0.124	0.371	1
81	"queer"" gaywad"	0.0	0.0	1
82	"faggot read my tweets after dat k"" it wasn't even funny lol"	0.0	0.604	1
83	"This bitch was so ungrateful "" fr ..... LULWHORE"	0.0	0.531	1
84	"I been kidnapped yo bitch"""	0.0	0.559	1
85	"alsarabsss"" hes a beaner smh you can tell hes a mexican"	0.0	0.247	1
86	"happy birthday nigs"" Thanks yo"	0.623	0.0	1
87	"when ur teacher tells u that u have homework https:"" this bitch need to go!!!"	0.0	0.369	1
88	""":  that nigga was eating that hoe lol"" Hell Yea lol john Paul"" nigga said john paul.."	0.241	0.198	1
89	"What would y'all lil ugly bald headed bitches do if they stop making make-up  weave?"""	0.0	0.485	1
90	"Leafs better win this damn game so I can go riot and shit #EarlyChristmas"" you better start looting my nig"	0.349	0.36	1
91	"Going back to school sucks more dick than the hoes who attend it."""	0.0	0.492	1
92	"On my way to fuck yo bitch "" me as a 9 year old"	0.0	0.549	1
93	"how come you never bring me food"" i dont have a car retard"	0.284	0.0	1
94	"If Richnow doesn't show up with hella tinder hoes Im not his friend anymore"" chill I brought like like 8 prople"	0.387	0.0	1
95	"How bout them Cowboys!!!!"" Shutup pussy"	0.0	0.0	1
96	"LMAOOOOOOOOOOO this nigga  "" &ltbitch want likes for some depressing shit..foh"	0.35	0.222	1
97	"girl you know I was spitting that G shit to you  you was going lbvs""bitch plz"	0.088	0.503	1
98	"Let me make a couple tweets off cuzzo page, so I won't get in twitter jail.""lmao bitch don't trick me again"	0.231	0.174	1
99	"Harlem shake is just an excuse to go full retard for 30 seconds."""	0.105	0.411	1
100	"amen miley  ""okay, but she don't need to act like a hoe just bc she's ""emotionally damaged"" foh"	0.095	0.252	1
101	"having one loyal female is wayyyyy better than having hoes , idc """	0.5	0.0	1
102	"Pussy licking pussy.... meow meow #StopWhitePeople2014  https:"""""""""	0.0	0.0	1
103	"Check out our 12th man. #CowboysNation"" even with all those faggot ny fans in the stands"	0.0	0.328	1
104	"What happen to them vixen ent bitches"" they got ran and threw to the side like a foothill bitch"	0.124	0.381	1
105	"im the bitch okay nudes pat "" wow"	0.422	0.281	1
106	"you're fucking gay, blacklisted hoe"" Holding out for #TehGodClan anyway"	0.0	0.0	1
107	"The fuck be wrong with these bitches?"" Nobody knows"	0.0	0.724	1
108	"Yall shut up:p"" make me bitch"	0.0	0.487	1
109	"I hate a ""I'm pregnant"" type of bitch."""	0.0	0.556	1
110	"Got bitches in the DM but I don't ever read'em"" which is y your top 3"	0.154	0.333	1
111	"Baseball season for the win. #Yankees"" This is where the love started"	0.571	0.0	0
112	"Little stupid as bitch I don't fuck with yoooooouuuu.."""	0.211	0.492	1
113	"she really asked me that dead ass serious tho, all i could say was ""bitch wheet"" LOL"	0.141	0.538	1
114	"I'm an early bird and I'm a night owl, so I'm wise and have worms."""	0.256	0.0	0
115	"Overdosing on heavy drugs doesn't sound bad tonight."" I do that pussy shit every day."	0.173	0.219	0
116	Pit Bulls Photographed As Lovely Fairy Tale Creatures  *are* fairy tale creatures.	0.257	0.0	0
117	"Aw."" ...fag, don't tweet ""aw"" to me lol"	0.201	0.223	1
118	"As long as the Lakers trash from now on, I could careless. And that's real."". CC:  hahaha"	0.224	0.155	0
119	"I didn't say anything tho"" kiss me then faggot"	0.23	0.361	1
120	"this the ""I play soccer, cheat on girls, and wear khaki coloured cargos"" haircut ""  yup"	0.146	0.183	0
121	"I could go for a fat ass bitch on my lap"" same"	0.0	0.593	1
122	"17 missed calls!!!! ""Das yo P.O bitch twitter finna be screamn #FreeMoneyMelle"	0.0	0.418	1
123	"Ya side bitch gotta know it's rules to this shit..anybody ask you my cousin from jersey thinkin bout moving"" lmmfao"	0.0	0.192	1
124	": 3 | Amo los pies "" fuck yeah"	0.227	0.361	1
125	"These hoes be thinking Meat won't slap they ass "" ainna bruh"	0.214	0.109	1
126	"Yall bitches wit no edges be doing the most talking """	0.0	0.438	1
127	"Yall still going trick or treating this year or nah?""hell yeah ima be da sweet tooth bandit steal bitches bags n shit"	0.152	0.525	1
128	"I wanna have sex with my mom fuck her right in that pussy where I came from"" damn you got hacked like fuck"	0.105	0.519	1
129	"If she kiss u with her eyes open watch that bitch!""lmfao"	0.428	0.247	1
130	"You a woulda coulda shoulda ass hoe """	0.0	0.368	1
131	"Happy Bday Bitch Ass Nigga ""preciate that bitch roll up!"	0.184	0.567	1
132	"used to send that bitch up"""	0.0	0.559	1
133	"Ugly bitches be like I'm my own WCW duh bitch you ain't nobody elses"""	0.116	0.512	1
134	"nigga you know we hacky sack hoes."" ...nah, I throw no look passes lmao"	0.255	0.092	1
135	"Glad I'm getting outta Atlanta. Nothing but a bunch of niggas in  outta jail  dumb bitches with mad kids fuckin em."""	0.184	0.379	1
136	"This isn't ghetto.....it's smart https:"" I'm doing this idc"	0.213	0.0	0
137	"I would wife a hoe only cuz we wouldn't care that we cheating in each other."" ...why force the relationship in the first place?"	0.167	0.15	1
138	"Being single isn't an excuse to be a hoe."""	0.0	0.196	1
139	"White boy power bitch"" black power bitch"	0.0	0.559	1
140	"Lets get drunk, get blowed, spit shit spark blunts  fuck hoes!"" Bro white dudes have no chill."	0.08	0.413	1
141	"bitch where u been"" Around the world and back. Where you been?"	0.0	0.432	1
142	"if I don't get my dick sucked at yo party by a bad bitch I'm fr gone set it off "" *by  *"	0.326	0.302	1
143	"#oomf is soooo cute. But he probably has hoes on him a lot."""	0.3	0.0	1
144	"In every cartoon theirs alway a  saving these hoes lmao. "" lmao damn captain SaveAHoe"	0.4	0.138	1
145	"Who wants to get there nose in these bad bois then #scally #chav #sockfetish #stinking "" hot sox and legs"	0.0	0.365	0
146	"I wish I was a bitch like my brother keezy "" ooooow I bet you do"	0.371	0.271	1
147	"If you dressed up as a cat for Halloween you are basic."" ...or a pussy"	0.0	0.0	1
148	"Can pornhub just get a gaming stream feature so these dumb bitches can gtfo""  get on it Katie&lt3"	0.0	0.396	1
149	"stop being scared to choke her during sex u bitch ass niggas. Shell like it."". Says the guy who hits women out of bed. FOH"	0.081	0.594	1
150	"ha well iguess I make them hoes loyal bro"" theyll never be loyal that y they hoes my nig"	0.543	0.0	1
151	"Oh man.. ""its 5 am, you off a molly, ho where the fuck ya seed at??"""" #fixed"	0.0	0.278	1
152	"You're not a man if you refer to every girl as a bitch"""	0.0	0.352	1
153	"Lmfao this cat started beating the shit out of me"" my nigga finally got some pussy?!? MY NIGGA!!!"	0.17	0.394	1
154	"Peel up peel up bring it back up rewind back where I'm from they move Shaq from the line"" ooooow who tf said that trash!!?"	0.0	0.0	0
155	"io io alu record ho vine sai pe hahahaha"" lol anywaaaaaays..... haha"	0.309	0.0	1
156	"naw it's my old tape. new cover . my upcoming mixtape is #KingOfTheHill"" Yeah I'm waiting on that hoe Mayne!"	0.151	0.0	1
157	"Ol dirty foot ass bitches.."" this was too funny to me."	0.218	0.481	1
158	"that's where I get my yellow flags for being amazing "" HELL YEAH NIGGY"	0.373	0.295	1
159	"Don't got time for bitches to be actin iffy."""	0.31	0.0	1
160	""" #UCFPINKPAY come on stay alive knights nation!!!!"" This is still the early bird special. #ComeAtMeUT"	0.35	0.0	0
161	"These hoes ain't loyal  no they ain't ""Smfh  wonder why nobody decent wants them"	0.0	0.175	1
162	"Bruh, you studs keep thinking I'm soft as hell. Ask ya girl how many times she screamed she was my bitch. Oh okay. STFU."" BYE HOE!"	0.066	0.38	1
163	"dry pussy bitches always blame it on the condom"""	0.0	0.558	1
164	"shut yo bitch ass up! https:"""	0.0	0.655	1
165	"Gucci Mane in jail and dropping mixtapes every month and you hoes can't even text back"""	0.0	0.0	1
166	"You love these hoes more then money wats wrong these niggas"""	0.286	0.374	1
167	"A loyal bitch from the burbs without daddy issues is like finding a holographic Mewtwo."" ...sounding like me over there lol"	0.247	0.335	1
168	"Easy cum, easy hoe"" That's a fact !"	0.504	0.0	1
169	"Charlie Sheen is too real "" major fucking respect for Charlie Sheen."	0.298	0.0	1
170	"Wish I had a bae ""You got all the hoes tho"	0.31	0.0	1
171	"Fuck twerking bitch can you cook ?"""	0.0	0.709	1
172	"bitch wtf"""	0.0	0.884	1
173	": "": Shut up zoe"" fight me pussy for zoe? I'm good, man."" You are good ma'am. Move along now"	0.271	0.121	1
174	"Lmao fucking snake bitches"" @ em"	0.323	0.346	1
175	"Big booty hoes everywhere sheesh "" damn"	0.0	0.31	1
176	"Stay tuned to  for an update on the report that  1B  will be out 8-10 weeks""  #bum"	0.0	0.0	0
177	": ""I play soccer, cheat on girls, and wear khaki coloured cargos"" haircut  yes lmfao"""	0.398	0.139	0
178	"Oregon chokes every year get off the field trash ass program"" RFT"	0.0	0.419	1
179	"Def not cowboy lol  : Terrell Owens was the best Eagle  Cowboy ever"" ..dude cried like a bitch on tv, over Romo"	0.353	0.238	1
180	"LMFAOOOO I HATE BLACK PEOPLE https:"" This is why there's black people and niggers"	0.0	0.307	1
181	"How could u do this to me bitch"" potent"	0.0	0.487	1
182	""" a pissed lad past out. I would lick his dirty soles while he slept."	0.0	0.504	0
183	""" love frat boy w/ soft long soles"	0.375	0.0	0
184	""" sexy lad with hot soles and arches."	0.405	0.0	0
185	"nah fam I gotta cheat with the hoes"" depends on the female i feel"	0.0	0.355	1
186	""" I got hicks lol"	0.483	0.0	0
187	"This new twitter is confusing the shit out of me."" Go back to south america bitch"	0.0	0.538	1
188	"Toto means ass or vagina?""I think pussy cause toto santi is like nasty pussy"	0.128	0.362	1
189	"but what if he actually does choose the ugly bitch over you? ""Her ass must be fat!"	0.0	0.645	1
190	"bitch couldn't kill my vibe if ya tried. "" dis why i love miley :*"	0.402	0.193	1
191	"I'm tired of bitches saying I look mean.. "" nigga you big af, wear tight shirts, and grim everybody."	0.0	0.467	1
192	"10 birds your grandkids may never see, thanks to climate change  "" #Climate"	0.0	0.194	0
193	"""Stay beautiful you bitch"""""	0.333	0.325	1
194	"#WutKindar purple. Ceeeleee""man this gurl was jus playin on the ""stupid hoe "" track. But in still shitted on sum gurls"	0.0	0.276	1
195	"Money getting taller and bitches getting blurry"""	0.0	0.515	1
196	"I ain't never seen a bitch so obsessed with they nigga"" I'm obsessed with mine"	0.224	0.187	1
197	"Kobe stay talking trash. But let's not forget ""  I meant to do this one. Smh."	0.0	0.296	1
198	"""At least I'm not a nigger"" ""Lmfao"	0.254	0.312	1
199	"People always asking me what I'm mixed with."" She a bad asian bitch lol"	0.155	0.403	1
200	"Ariza is a snake and a coward"" but at least he isn't a cripple like your hero Roach lmaoo"	0.0	0.501	1
201	": Fosters home for imaginary trash WHOA CHILL""that show was everything tf"	0.0	0.0	0
202	"I am lowkey tired."" ...if you tired, be quiet and go to sleep hoe!"	0.0	0.465	1
203	": Stop bringing weird niggers into my mentions!  """	0.0	0.512	1
204	"We don't love these hoes """	0.0	0.457	1
205	"If yo girl cant have homeboys you a ol weak bitch ass nigga!"""	0.134	0.422	1
206	"I think worst advice I gave you was "" don't be a pussy and speed up"" lol"""	0.176	0.258	1
207	"Quote this tweet with your favorite animal.""pussy"	0.375	0.0	1
208	"I hate when strippers tell you they're ""dancers"". Hoe, ballet dancers don't pop their pussy to Beethoven. You a STRIPPER!"""	0.0	0.2	1
209	"Andrewbryant: Poff has double vision after 2 beersPoff: ... Double pussy "" smh"	0.163	0.187	1
210	"When bitches TWERK on the computer....ME: ""In ya , in ya damn """""	0.0	0.375	1
211	: :  Prince, THIS is art.  nobody takin his bitch!	0.0	0.45	1
212	"61% of welfare/government aid is claimed by white people. So y'all black slander is trash now."""	0.0	0.0	0
213	"These bitches don't care they just play that role."""	0.0	0.682	1
214	"It took a while for you to find me, but I was hiding In the lime tree."" dis bitch in da wrong tree bro."	0.0	0.453	1
215	"Drakes new shoes that will be released by Nike/Jordan.... Yes, there's glitter on the shoes "" ....dudes a fag"	0.152	0.174	1
216	"inna di ghetto!!!"" You alone lmaoo"	0.0	0.324	0
217	":   hoes Austin teach us Austin.""I teach u how to get curved? That's all I know"	0.0	0.0	0
218	"bitches can't cook but know how to suck dick .."" s/o to the ones that can do both!"	0.134	0.419	1
219	"Fat hoes get chose"" lol"	0.359	0.0	1
220	"#hoesaintloyal"" well they're hoes,no one expects them to be loyal"	0.464	0.0	1
221	"ol bitch ass"""	0.0	0.785	1
222	"Bruh im tired of niggas retweetin Miley Cyrus naked that bitch aint no types of bad"" lmaooo"	0.13	0.415	1
223	"Just because tony romo at the mavs game dont mean he still not a bitch lmao.. Fuk them cowgirls"" lol bitch fuck you"	0.366	0.143	1
224	"Holy shit, Freddie Highmore was in Charlie and the Chocolate Factory""Me: *rolls on the floor, laughing*"	0.0	0.247	1
225	"""I don't want to have sex with my gf because I feel like I'm using her.."" - anonymous"" Whata faggot"	0.124	0.279	1
226	"@ One of your followers with this  "" @ somebody, bitch if you don't"	0.0	0.432	1
227	"If ya bitch always bitching clearly she care!"" Or just an annoying Bitch!"	0.247	0.544	1
228	"These catfish hoes thinkin they slick.. But niggas catching on """	0.0	0.231	1
229	"Can't worry about a bitch that ain't worried bout me"" #real"	0.513	0.0	1
230	"Side hoes are for insecure niggas that can't handle a real one."""	0.0	0.394	1
231	": Lmao! This bitch come scooting in the tent like she about to fuck some shit up!"""	0.28	0.502	1
232	"My cousin said he share hoes with his brothers. He said sharing is caring and he love his brothers """	0.579	0.0	1
233	"i'm hungry but ionn wanna spend my money on food""Broke hoe problems"	0.0	0.355	1
234	"Dese hoes be LYIN to all of us nigga"""	0.0	0.0	1
235	""" oh yeah fuck that bitch"	0.191	0.635	1
236	"Eli Manning just threw his NFL-leading 27th interception of the season."" Lmao trash"	0.302	0.0	0
237	"USC senior RB Anthony Brown calls head coach Steve Sarkisian a racist and quits team.  "" he's a bitch"	0.0	0.358	0
238	"Guess what? I also have zero time for your mansplaining! Adios!"" Stfu pussy"	0.0	0.0	1
239	"Chilling  "" sexy scally lad"	0.453	0.147	0
240	"I ain't sharing no bitch if you mines you mines """	0.295	0.224	1
241	"money only impress the simple broke bitches"""	0.23	0.532	1
242	"#Pisces will never be anybody's bitch, they don't let people control or change them."" Rigghhht"	0.218	0.0	1
243	"tuku ho idk blah blah blah"""	0.0	0.651	0
244	"I'm not mad cuh hahaha"" suure.. tuku ho ita!"	0.276	0.227	0
245	"These hoes is crazy"""	0.0	0.444	1
246	"You ain't ever gonna be a slice bitch."" Kevin hart. (:"	0.0	0.275	1
247	"Oomf so fuckin fine tho  dam"" @ her, don't be no bitch."	0.448	0.0	1
248	"I wonder if the girl that gave head to 24 boys for a drink in magaluf has twitter"" she probly sends nudes for fags"	0.0	0.0	1
249	"#NewSATQuestionsYeah bitch, yeah bitch, call me _______:a.) Maybeb.) Steve-Oc.) Laterd.) Jesse Pinkman"""	0.117	0.404	1
250	"Hickies in between her thighs right by her pussy &gt&gt&gt"" Its only right"	0.474	0.0	1
251	"Would you still love me when I'm no longer young and beautiful?"" No. Ugly monkey ass."	0.336	0.373	1
252	"y'all come through the front.""bitch I ain't coming"	0.0	0.352	1
253	"faggot bitch"""	0.0	0.891	1
254	"yea, I'm on my iPad. I don't work this Friday. Let's ball this faggot up ""i work 2-5"	0.0	0.268	1
255	""" this scally lad would get it"	0.0	0.0	0
256	"#GerrysHalloweenParty "" Halloween was yesterday stupid nigger"	0.0	0.658	1
257	"Chrus still supahot tho"" *walks up to teacher with test, drops test in that bitch fohead*"	0.0	0.257	1
258	": I love eating pussy lol I never get full lol I can eat that shit forever lol"" and ever."	0.5	0.143	1
259	": "": : No slushes hoes nasty anyway fam""them hoes taste like meds"""	0.137	0.317	1
260	": No slushes hoes nasty anyway fam"""	0.0	0.537	1
261	"BOBBY BITCH-by  be getting me live as fuck"" hell yea i play that hoe before my workout"	0.13	0.438	1
262	"Yo bitch is Gucci Mane   : My bitch a stoner  """	0.0	0.559	1
263	"I can ride your bitch with no handle bars"""	0.0	0.487	1
264	"And if you ain't a hoe get up out my traphoussseeeee"""	0.0	0.0	1
265	"15 sad TV character deaths we're still bitter over...  ""ned stark was the man"	0.0	0.349	0
266	"These harbor bitches are all ""Party Bus hoes"""" Lol all?"	0.335	0.238	1
267	"pussy"" love it"	0.677	0.0	1
268	"Ultraviolence video, its coming you little bitch! #MTVHottest Lana Del Rey "" bitchy promo"	0.0	0.415	1
269	"On my way to fuck your bitch https:""LMFAO KITTYCOPTER"	0.256	0.442	1
270	"A smuggler explains how he helped fighters along the ""Jihadi Highway"": """	0.0	0.35	0
271	""": Aww their avis look so cute together  "" "" do I gotta get Ike avi on this bitch ?"	0.16	0.202	1
272	""": Its simple, dont be a hoe=dont worry about being exposed "" fight me""why ?"	0.274	0.197	1
273	"whys this bitch boosting herself ""Her size isn't exactly the most healthy tho"	0.155	0.392	1
274	"bet not be no bitches! ""  Kim bye!!!"	0.0	0.559	1
275	"Damn near gotta protect my tweets.. stalkers being annoying"" you got that dope dick. Drive these bitches loco"	0.103	0.5	1
276	"I'm making marack my girlfriend .""  aye b you pullin hoes just like o taught you"	0.217	0.0	1
277	"Bruno fag boy"" you love me."	0.408	0.301	1
278	": I must be a bitch you are  sike naw"" This why we always beefing"	0.0	0.352	1
279	"Down 6-1, #Yankees look to rally in the bottom of the 9th."" #RALLYCAP"	0.0	0.0	0
280	": Don't take advantage of a nice person@ hoes""@ everyjuan"	0.0	0.368	1
281	"Happy birthday bitch nigga "" Thanks pal"	0.458	0.264	1
282	"Sad knowing that most hoes won't fuck with you bc you ain't got stacks."" wait till friday"	0.15	0.164	1
283	"cinco shit harder fucc nigga""yee but you fucc wit rich homie cuz dats ya homeboy fucc nicca"	0.162	0.162	1
284	"ewww I said THAT last Sunday..as in the last Sunday I was there. Read it again nigs"""	0.0	0.0	1
285	"I only punch real niggas in the face cause a pussy Nigga is gonna punch me right back"" Strong Mush or Shake.."	0.168	0.122	1
286	""" My pussy still fresh"" &lt----- something stank girls say."	0.142	0.179	1
287	"Ass slapping is one the greatest things. Haha. "" I slapped a girl on the ass. . She got mad I aint get pussy for a week"	0.245	0.347	1
288	"yeah Texans are so much better you fucking retard"" I see that you're mad about this."	0.283	0.383	1
289	"Nd wtf is up with dark bitches with blonde.. PLEASE HAVE SEVERAL SEATS HOE!"" ..looking like blackmilds out here"	0.235	0.34	1
290	"There's a lane some bitches need to stay in "" the left n get right the fuck outta our face"	0.0	0.402	1
291	"I hate when boys deny that they have bitches "" smh"	0.0	0.86	1
292	"Ya nigs out there still saying y'all don't eat butt?!"" WITH A STRAIGHT FACE!"	0.226	0.0	1
293	"Im a boss ass bitch"" ...that needs to sit in a corner"	0.0	0.51	1
294	"He's a hoe , I can't"""	0.0	0.0	1
295	"Me And Paul Thinkin Bout Gettin Rentals For Da Weekend ""oooh shit bitches betta stay out da streets"	0.0	0.319	1
296	"bitches hold they nigga down when he get locked up... but if a nigga go to college or the military it's a different story. """	0.0	0.231	1
297	"why do my friends hate me"" because you a ratchet hoe.."	0.316	0.378	1
298	"No love for these fuck niggas"" hoes*"	0.294	0.566	1
299	"Hot meat "" sexy as fuck scally lad. I would love to meet him and his trainers."	0.398	0.183	1
300	"Sniff "" perved up scally lad. fuck yeah."	0.206	0.327	1
301	"These bitches love Sosa"""	0.378	0.351	1
302	": I legit watched it for about 30 or 40 seconds SO DID I WTF"" prob cause were retarded smh"	0.0	0.535	1
303	"What should I name my cat, ideas?"" Mr pussy"	0.0	0.0	1
304	""" woof woof. Sexy thug boy scally."	0.362	0.0	1
305	"u see the damn phone ringing? "" when you married bitches makes demands!!!! You haven't called me"	0.0	0.437	1
306	"Tevin is my favorite sophomore I think he's so funny"" Hes really not. Lmaoo hes a little hoe"	0.349	0.0	1
307	"10 sex positions  ""naw this what u call fucking the soul outta bitch"	0.0	0.311	1
308	"is bored supposed to be cute, you faggot?"" Sometimes"	0.24	0.52	1
309	"One mans trash  is another mans treasure """	0.268	0.0	0
310	"I don't got no type. Bad bitches is the only thing I like"" *Iongotnotype"	0.351	0.256	1
311	"lassen cc , the coach wants me"" i feel it youll get more my nig no doubt"	0.0	0.217	1
312	"god teeth , gold chainwhite bitches , cocaine"""	0.191	0.355	1
313	"Its me hoe, its me hoe"" shhhhh"	0.0	0.0	1
314	"In D.C., we call them rollers, in Chiraq we call them thots."" All across America they have been known as a hoe."	0.0	0.0	1
315	"I'm gonna miss that bitch of a bus driver...""no you won't. Don't lie"	0.0	0.31	1
316	"hate when bitches try and put you in the friendzone. bitch I'm tryin to score put me in the endzone "" ON. MY. SOUL!"	0.0	0.493	1
317	"Ashley Young has tried to deny that bird s*** landed in his mouth ---&gt  https:"" hahaha"	0.315	0.133	0
318	"yall both gimped up??"" Ain't tht a bitch huh lol"	0.471	0.0	1
319	""": Take me for a ride  ""#redneck"" woof woof"	0.0	0.0	0
320	"oh my god I love Victoria Mitchell"" all my bitches love me"	0.571	0.212	1
321	"That long distance shit wack I knew the bitch was cheating""- uh oh"	0.0	0.579	1
322	"HE'S DOING IT RIGHT  "" no bitches smh"	0.0	0.508	1
323	"they BAN dat pussy for life  he gotta pay 2.5 millon dollar fine"""	0.109	0.347	1
324	"Roses are red and violets are blue and niggers are black, you know that's true."""	0.237	0.0	1
325	"Sitting on my window sill, window open, bird tries to fly in. Smacked it. #ProtectTheAnimals"""	0.0	0.0	0
326	"But a nigga gon be a nigga, be a nigga."" You sound fuckin retarded"	0.0	0.291	1
327	"a video an entire media will likely mock. "" i am such a crybaby"	0.0	0.318	0
328	"I'm not even shy stfu"" kikis mom: Hi angelique Angelique: Smiles *Dips cracker in soup*"	0.181	0.117	1
329	"Tim Tebow got cut from every team he was on in the NFL and he already got more hoes than me in Starkville. Smh."""	0.0	0.286	1
330	"Karma is a bitch #Damn #GodProtectsHisAngels ""*sips tea*"	0.0	0.565	1
