	Unnamed: 0	tweets	class
91	91	"Going back to school sucks more dick than the hoes who attend it."""	1
92	92	"On my way to fuck yo bitch "" me as a 9 year old"	1
93	93	"how come you never bring me food"" i dont have a car retard"	1
94	94	"If Richnow doesn't show up with hella tinder hoes Im not his friend anymore"" chill I brought like like 8 prople"	1
95	95	"How bout them Cowboys!!!!"" Shutup pussy"	1
96	96	"LMAOOOOOOOOOOO this nigga  "" &ltbitch want likes for some depressing shit..foh"	1
97	97	"girl you know I was spitting that G shit to you  you was going lbvs""bitch plz"	1
98	98	"Let me make a couple tweets off cuzzo page, so I won't get in twitter jail.""lmao bitch don't trick me again"	1
99	99	"Harlem shake is just an excuse to go full retard for 30 seconds."""	1
100	100	"amen miley  ""okay, but she don't need to act like a hoe just bc she's ""emotionally damaged"" foh"	1
101	101	"having one loyal female is wayyyyy better than having hoes , idc """	1
102	102	"Pussy licking pussy.... meow meow #StopWhitePeople2014  https:"""""""""	1
103	103	"Check out our 12th man. #CowboysNation"" even with all those faggot ny fans in the stands"	1
104	104	"What happen to them vixen ent bitches"" they got ran and threw to the side like a foothill bitch"	1
105	105	"im the bitch okay nudes pat "" wow"	1
106	106	"you're fucking gay, blacklisted hoe"" Holding out for #TehGodClan anyway"	1
107	107	"The fuck be wrong with these bitches?"" Nobody knows"	1
108	108	"Yall shut up:p"" make me bitch"	1
109	109	"I hate a ""I'm pregnant"" type of bitch."""	1
110	110	"Got bitches in the DM but I don't ever read'em"" which is y your top 3"	1
111	111	"Baseball season for the win. #Yankees"" This is where the love started"	0
112	112	"Little stupid as bitch I don't fuck with yoooooouuuu.."""	1
113	113	"she really asked me that dead ass serious tho, all i could say was ""bitch wheet"" LOL"	1
114	114	"I'm an early bird and I'm a night owl, so I'm wise and have worms."""	0
115	115	"Overdosing on heavy drugs doesn't sound bad tonight."" I do that pussy shit every day."	0
116	116	Pit Bulls Photographed As Lovely Fairy Tale Creatures  *are* fairy tale creatures.	0
117	117	"Aw."" ...fag, don't tweet ""aw"" to me lol"	1
118	118	"As long as the Lakers trash from now on, I could careless. And that's real."". CC:  hahaha"	0
119	119	"I didn't say anything tho"" kiss me then faggot"	1
120	120	"this the ""I play soccer, cheat on girls, and wear khaki coloured cargos"" haircut ""  yup"	0
121	121	"I could go for a fat ass bitch on my lap"" same"	1
122	122	"17 missed calls!!!! ""Das yo P.O bitch twitter finna be screamn #FreeMoneyMelle"	1
123	123	"Ya side bitch gotta know it's rules to this shit..anybody ask you my cousin from jersey thinkin bout moving"" lmmfao"	1
124	124	": 3 | Amo los pies "" fuck yeah"	1
125	125	"These hoes be thinking Meat won't slap they ass "" ainna bruh"	1
126	126	"Yall bitches wit no edges be doing the most talking """	1
127	127	"Yall still going trick or treating this year or nah?""hell yeah ima be da sweet tooth bandit steal bitches bags n shit"	1
128	128	"I wanna have sex with my mom fuck her right in that pussy where I came from"" damn you got hacked like fuck"	1
129	129	"If she kiss u with her eyes open watch that bitch!""lmfao"	1
130	130	"You a woulda coulda shoulda ass hoe """	1
131	131	"Happy Bday Bitch Ass Nigga ""preciate that bitch roll up!"	1
132	132	"used to send that bitch up"""	1
133	133	"Ugly bitches be like I'm my own WCW duh bitch you ain't nobody elses"""	1
134	134	"nigga you know we hacky sack hoes."" ...nah, I throw no look passes lmao"	1
135	135	"Glad I'm getting outta Atlanta. Nothing but a bunch of niggas in  outta jail  dumb bitches with mad kids fuckin em."""	1
136	136	"This isn't ghetto.....it's smart https:"" I'm doing this idc"	0
137	137	"I would wife a hoe only cuz we wouldn't care that we cheating in each other."" ...why force the relationship in the first place?"	1
138	138	"Being single isn't an excuse to be a hoe."""	1
139	139	"White boy power bitch"" black power bitch"	1
140	140	"Lets get drunk, get blowed, spit shit spark blunts  fuck hoes!"" Bro white dudes have no chill."	1
141	141	"bitch where u been"" Around the world and back. Where you been?"	1
142	142	"if I don't get my dick sucked at yo party by a bad bitch I'm fr gone set it off "" *by  *"	1
143	143	"#oomf is soooo cute. But he probably has hoes on him a lot."""	1
144	144	"In every cartoon theirs alway a  saving these hoes lmao. "" lmao damn captain SaveAHoe"	1
145	145	"Who wants to get there nose in these bad bois then #scally #chav #sockfetish #stinking "" hot sox and legs"	0
146	146	"I wish I was a bitch like my brother keezy "" ooooow I bet you do"	1
147	147	"If you dressed up as a cat for Halloween you are basic."" ...or a pussy"	1
148	148	"Can pornhub just get a gaming stream feature so these dumb bitches can gtfo""  get on it Katie&lt3"	1
149	149	"stop being scared to choke her during sex u bitch ass niggas. Shell like it."". Says the guy who hits women out of bed. FOH"	1
150	150	"ha well iguess I make them hoes loyal bro"" theyll never be loyal that y they hoes my nig"	1
151	151	"Oh man.. ""its 5 am, you off a molly, ho where the fuck ya seed at??"""" #fixed"	1
152	152	"You're not a man if you refer to every girl as a bitch"""	1
153	153	"Lmfao this cat started beating the shit out of me"" my nigga finally got some pussy?!? MY NIGGA!!!"	1
154	154	"Peel up peel up bring it back up rewind back where I'm from they move Shaq from the line"" ooooow who tf said that trash!!?"	0
155	155	"io io alu record ho vine sai pe hahahaha"" lol anywaaaaaays..... haha"	1
156	156	"naw it's my old tape. new cover . my upcoming mixtape is #KingOfTheHill"" Yeah I'm waiting on that hoe Mayne!"	1
157	157	"Ol dirty foot ass bitches.."" this was too funny to me."	1
158	158	"that's where I get my yellow flags for being amazing "" HELL YEAH NIGGY"	1
159	159	"Don't got time for bitches to be actin iffy."""	1
160	160	""" #UCFPINKPAY come on stay alive knights nation!!!!"" This is still the early bird special. #ComeAtMeUT"	0
161	161	"These hoes ain't loyal  no they ain't ""Smfh  wonder why nobody decent wants them"	1
162	162	"Bruh, you studs keep thinking I'm soft as hell. Ask ya girl how many times she screamed she was my bitch. Oh okay. STFU."" BYE HOE!"	1
163	163	"dry pussy bitches always blame it on the condom"""	1
164	164	"shut yo bitch ass up! https:"""	1
165	165	"Gucci Mane in jail and dropping mixtapes every month and you hoes can't even text back"""	1
166	166	"You love these hoes more then money wats wrong these niggas"""	1
167	167	"A loyal bitch from the burbs without daddy issues is like finding a holographic Mewtwo."" ...sounding like me over there lol"	1
168	168	"Easy cum, easy hoe"" That's a fact !"	1
169	169	"Charlie Sheen is too real "" major fucking respect for Charlie Sheen."	1
170	170	"Wish I had a bae ""You got all the hoes tho"	1
171	171	"Fuck twerking bitch can you cook ?"""	1
172	172	"bitch wtf"""	1
173	173	": "": Shut up zoe"" fight me pussy for zoe? I'm good, man."" You are good ma'am. Move along now"	1
174	174	"Lmao fucking snake bitches"" @ em"	1
175	175	"Big booty hoes everywhere sheesh "" damn"	1
176	176	"Stay tuned to  for an update on the report that  1B  will be out 8-10 weeks""  #bum"	0
177	177	": ""I play soccer, cheat on girls, and wear khaki coloured cargos"" haircut  yes lmfao"""	0
178	178	"Oregon chokes every year get off the field trash ass program"" RFT"	1
179	179	"Def not cowboy lol  : Terrell Owens was the best Eagle  Cowboy ever"" ..dude cried like a bitch on tv, over Romo"	1
180	180	"LMFAOOOO I HATE BLACK PEOPLE https:"" This is why there's black people and niggers"	1
181	181	"How could u do this to me bitch"" potent"	1
182	182	""" a pissed lad past out. I would lick his dirty soles while he slept."	0
183	183	""" love frat boy w/ soft long soles"	0
184	184	""" sexy lad with hot soles and arches."	0
185	185	"nah fam I gotta cheat with the hoes"" depends on the female i feel"	1
186	186	""" I got hicks lol"	0
187	187	"This new twitter is confusing the shit out of me."" Go back to south america bitch"	1
188	188	"Toto means ass or vagina?""I think pussy cause toto santi is like nasty pussy"	1
189	189	"but what if he actually does choose the ugly bitch over you? ""Her ass must be fat!"	1
190	190	"bitch couldn't kill my vibe if ya tried. "" dis why i love miley :*"	1
191	191	"I'm tired of bitches saying I look mean.. "" nigga you big af, wear tight shirts, and grim everybody."	1
192	192	"10 birds your grandkids may never see, thanks to climate change  "" #Climate"	0
193	193	"""Stay beautiful you bitch"""""	1
194	194	"#WutKindar purple. Ceeeleee""man this gurl was jus playin on the ""stupid hoe "" track. But in still shitted on sum gurls"	1
195	195	"Money getting taller and bitches getting blurry"""	1
196	196	"I ain't never seen a bitch so obsessed with they nigga"" I'm obsessed with mine"	1
197	197	"Kobe stay talking trash. But let's not forget ""  I meant to do this one. Smh."	1
198	198	"""At least I'm not a nigger"" ""Lmfao"	1
199	199	"People always asking me what I'm mixed with."" She a bad asian bitch lol"	1
200	200	"Ariza is a snake and a coward"" but at least he isn't a cripple like your hero Roach lmaoo"	1
201	201	": Fosters home for imaginary trash WHOA CHILL""that show was everything tf"	0
202	202	"I am lowkey tired."" ...if you tired, be quiet and go to sleep hoe!"	1
203	203	": Stop bringing weird niggers into my mentions!  """	1
204	204	"We don't love these hoes """	1
205	205	"If yo girl cant have homeboys you a ol weak bitch ass nigga!"""	1
206	206	"I think worst advice I gave you was "" don't be a pussy and speed up"" lol"""	1
207	207	"Quote this tweet with your favorite animal.""pussy"	1
208	208	"I hate when strippers tell you they're ""dancers"". Hoe, ballet dancers don't pop their pussy to Beethoven. You a STRIPPER!"""	1
209	209	"Andrewbryant: Poff has double vision after 2 beersPoff: ... Double pussy "" smh"	1
210	210	"When bitches TWERK on the computer....ME: ""In ya , in ya damn """""	1
211	211	: :  Prince, THIS is art.  nobody takin his bitch!	1
212	212	"61% of welfare/government aid is claimed by white people. So y'all black slander is trash now."""	0
213	213	"These bitches don't care they just play that role."""	1
214	214	"It took a while for you to find me, but I was hiding In the lime tree."" dis bitch in da wrong tree bro."	1
215	215	"Drakes new shoes that will be released by Nike/Jordan.... Yes, there's glitter on the shoes "" ....dudes a fag"	1
216	216	"inna di ghetto!!!"" You alone lmaoo"	0
217	217	":   hoes Austin teach us Austin.""I teach u how to get curved? That's all I know"	0
218	218	"bitches can't cook but know how to suck dick .."" s/o to the ones that can do both!"	1
219	219	"Fat hoes get chose"" lol"	1
220	220	"#hoesaintloyal"" well they're hoes,no one expects them to be loyal"	1
221	221	"ol bitch ass"""	1
222	222	"Bruh im tired of niggas retweetin Miley Cyrus naked that bitch aint no types of bad"" lmaooo"	1
223	223	"Just because tony romo at the mavs game dont mean he still not a bitch lmao.. Fuk them cowgirls"" lol bitch fuck you"	1
224	224	"Holy shit, Freddie Highmore was in Charlie and the Chocolate Factory""Me: *rolls on the floor, laughing*"	1
225	225	"""I don't want to have sex with my gf because I feel like I'm using her.."" - anonymous"" Whata faggot"	1
226	226	"@ One of your followers with this  "" @ somebody, bitch if you don't"	1
227	227	"If ya bitch always bitching clearly she care!"" Or just an annoying Bitch!"	1
228	228	"These catfish hoes thinkin they slick.. But niggas catching on """	1
229	229	"Can't worry about a bitch that ain't worried bout me"" #real"	1
230	230	"Side hoes are for insecure niggas that can't handle a real one."""	1
231	231	": Lmao! This bitch come scooting in the tent like she about to fuck some shit up!"""	1
232	232	"My cousin said he share hoes with his brothers. He said sharing is caring and he love his brothers """	1
233	233	"i'm hungry but ionn wanna spend my money on food""Broke hoe problems"	1
234	234	"Dese hoes be LYIN to all of us nigga"""	1
235	235	""" oh yeah fuck that bitch"	1
236	236	"Eli Manning just threw his NFL-leading 27th interception of the season."" Lmao trash"	0
237	237	"USC senior RB Anthony Brown calls head coach Steve Sarkisian a racist and quits team.  "" he's a bitch"	0
238	238	"Guess what? I also have zero time for your mansplaining! Adios!"" Stfu pussy"	1
239	239	"Chilling  "" sexy scally lad"	0
240	240	"I ain't sharing no bitch if you mines you mines """	1
241	241	"money only impress the simple broke bitches"""	1
242	242	"#Pisces will never be anybody's bitch, they don't let people control or change them."" Rigghhht"	1
243	243	"tuku ho idk blah blah blah"""	0
244	244	"I'm not mad cuh hahaha"" suure.. tuku ho ita!"	0
245	245	"These hoes is crazy"""	1
246	246	"You ain't ever gonna be a slice bitch."" Kevin hart. (:"	1
247	247	"Oomf so fuckin fine tho  dam"" @ her, don't be no bitch."	1
248	248	"I wonder if the girl that gave head to 24 boys for a drink in magaluf has twitter"" she probly sends nudes for fags"	1
249	249	"#NewSATQuestionsYeah bitch, yeah bitch, call me _______:a.) Maybeb.) Steve-Oc.) Laterd.) Jesse Pinkman"""	1
250	250	"Hickies in between her thighs right by her pussy &gt&gt&gt"" Its only right"	1
251	251	"Would you still love me when I'm no longer young and beautiful?"" No. Ugly monkey ass."	1
252	252	"y'all come through the front.""bitch I ain't coming"	1
253	253	"faggot bitch"""	1
254	254	"yea, I'm on my iPad. I don't work this Friday. Let's ball this faggot up ""i work 2-5"	1
255	255	""" this scally lad would get it"	0
256	256	"#GerrysHalloweenParty "" Halloween was yesterday stupid nigger"	1
257	257	"Chrus still supahot tho"" *walks up to teacher with test, drops test in that bitch fohead*"	1
258	258	": I love eating pussy lol I never get full lol I can eat that shit forever lol"" and ever."	1
259	259	": "": : No slushes hoes nasty anyway fam""them hoes taste like meds"""	1
260	260	": No slushes hoes nasty anyway fam"""	1
261	261	"BOBBY BITCH-by  be getting me live as fuck"" hell yea i play that hoe before my workout"	1
262	262	"Yo bitch is Gucci Mane   : My bitch a stoner  """	1
263	263	"I can ride your bitch with no handle bars"""	1
264	264	"And if you ain't a hoe get up out my traphoussseeeee"""	1
265	265	"15 sad TV character deaths we're still bitter over...  ""ned stark was the man"	0
266	266	"These harbor bitches are all ""Party Bus hoes"""" Lol all?"	1
267	267	"pussy"" love it"	1
268	268	"Ultraviolence video, its coming you little bitch! #MTVHottest Lana Del Rey "" bitchy promo"	1
269	269	"On my way to fuck your bitch https:""LMFAO KITTYCOPTER"	1
270	270	"A smuggler explains how he helped fighters along the ""Jihadi Highway"": """	0
271	271	""": Aww their avis look so cute together  "" "" do I gotta get Ike avi on this bitch ?"	1
272	272	""": Its simple, dont be a hoe=dont worry about being exposed "" fight me""why ?"	1
273	273	"whys this bitch boosting herself ""Her size isn't exactly the most healthy tho"	1
274	274	"bet not be no bitches! ""  Kim bye!!!"	1
275	275	"Damn near gotta protect my tweets.. stalkers being annoying"" you got that dope dick. Drive these bitches loco"	1
276	276	"I'm making marack my girlfriend .""  aye b you pullin hoes just like o taught you"	1
277	277	"Bruno fag boy"" you love me."	1
278	278	": I must be a bitch you are  sike naw"" This why we always beefing"	1
279	279	"Down 6-1, #Yankees look to rally in the bottom of the 9th."" #RALLYCAP"	0
280	280	": Don't take advantage of a nice person@ hoes""@ everyjuan"	1
281	281	"Happy birthday bitch nigga "" Thanks pal"	1
282	282	"Sad knowing that most hoes won't fuck with you bc you ain't got stacks."" wait till friday"	1
283	283	"cinco shit harder fucc nigga""yee but you fucc wit rich homie cuz dats ya homeboy fucc nicca"	1
284	284	"ewww I said THAT last Sunday..as in the last Sunday I was there. Read it again nigs"""	1
285	285	"I only punch real niggas in the face cause a pussy Nigga is gonna punch me right back"" Strong Mush or Shake.."	1
286	286	""" My pussy still fresh"" &lt----- something stank girls say."	1
287	287	"Ass slapping is one the greatest things. Haha. "" I slapped a girl on the ass. . She got mad I aint get pussy for a week"	1
288	288	"yeah Texans are so much better you fucking retard"" I see that you're mad about this."	1
289	289	"Nd wtf is up with dark bitches with blonde.. PLEASE HAVE SEVERAL SEATS HOE!"" ..looking like blackmilds out here"	1
290	290	"There's a lane some bitches need to stay in "" the left n get right the fuck outta our face"	1
291	291	"I hate when boys deny that they have bitches "" smh"	1
292	292	"Ya nigs out there still saying y'all don't eat butt?!"" WITH A STRAIGHT FACE!"	1
293	293	"Im a boss ass bitch"" ...that needs to sit in a corner"	1
294	294	"He's a hoe , I can't"""	1
295	295	"Me And Paul Thinkin Bout Gettin Rentals For Da Weekend ""oooh shit bitches betta stay out da streets"	1
296	296	"bitches hold they nigga down when he get locked up... but if a nigga go to college or the military it's a different story. """	1
297	297	"why do my friends hate me"" because you a ratchet hoe.."	1
298	298	"No love for these fuck niggas"" hoes*"	1
299	299	"Hot meat "" sexy as fuck scally lad. I would love to meet him and his trainers."	1
300	300	"Sniff "" perved up scally lad. fuck yeah."	1
301	301	"These bitches love Sosa"""	1
302	302	": I legit watched it for about 30 or 40 seconds SO DID I WTF"" prob cause were retarded smh"	1
303	303	"What should I name my cat, ideas?"" Mr pussy"	1
304	304	""" woof woof. Sexy thug boy scally."	1
305	305	"u see the damn phone ringing? "" when you married bitches makes demands!!!! You haven't called me"	1
306	306	"Tevin is my favorite sophomore I think he's so funny"" Hes really not. Lmaoo hes a little hoe"	1
307	307	"10 sex positions  ""naw this what u call fucking the soul outta bitch"	1
308	308	"is bored supposed to be cute, you faggot?"" Sometimes"	1
309	309	"One mans trash  is another mans treasure """	0
310	310	"I don't got no type. Bad bitches is the only thing I like"" *Iongotnotype"	1
311	311	"lassen cc , the coach wants me"" i feel it youll get more my nig no doubt"	1
312	312	"god teeth , gold chainwhite bitches , cocaine"""	1
313	313	"Its me hoe, its me hoe"" shhhhh"	1
314	314	"In D.C., we call them rollers, in Chiraq we call them thots."" All across America they have been known as a hoe."	1
315	315	"I'm gonna miss that bitch of a bus driver...""no you won't. Don't lie"	1
316	316	"hate when bitches try and put you in the friendzone. bitch I'm tryin to score put me in the endzone "" ON. MY. SOUL!"	1
317	317	"Ashley Young has tried to deny that bird s*** landed in his mouth ---&gt  https:"" hahaha"	0
318	318	"yall both gimped up??"" Ain't tht a bitch huh lol"	1
319	319	""": Take me for a ride  ""#redneck"" woof woof"	0
320	320	"oh my god I love Victoria Mitchell"" all my bitches love me"	1
321	321	"That long distance shit wack I knew the bitch was cheating""- uh oh"	1
322	322	"HE'S DOING IT RIGHT  "" no bitches smh"	1
323	323	"they BAN dat pussy for life  he gotta pay 2.5 millon dollar fine"""	1
324	324	"Roses are red and violets are blue and niggers are black, you know that's true."""	1
325	325	"Sitting on my window sill, window open, bird tries to fly in. Smacked it. #ProtectTheAnimals"""	0
326	326	"But a nigga gon be a nigga, be a nigga."" You sound fuckin retarded"	1
327	327	"a video an entire media will likely mock. "" i am such a crybaby"	0
328	328	"I'm not even shy stfu"" kikis mom: Hi angelique Angelique: Smiles *Dips cracker in soup*"	1
329	329	"Tim Tebow got cut from every team he was on in the NFL and he already got more hoes than me in Starkville. Smh."""	1
330	330	"Karma is a bitch #Damn #GodProtectsHisAngels ""*sips tea*"	1
331	331	"Fuckin hot gym pussy "" fuck yeah"	1
332	332	"Jihadi patron Hajjaj al-Ajmi is arrested at Kuwait airport https:"""	0
333	333	"You can call me Fireman cause I turn the hoes on."""	1
334	334	"I could never have a bby by a lil dick Thts y I got a abortion by the last bitch""- oh My God"	1
335	335	"Watch women try to argue with me like they have a dick and actually fucked some pussy before"" I hate when bitches do that"	1
336	336	"And smoke weed in public, fuck cops man, do what you wanna do, they don't own you, run if they come"" are you retarded?"	1
337	337	"tweety bird tho https:"""	0
338	338	"my pussy sweet like watermelon ""Thotermelon"	1
339	339	"When twitter rappers dm me their trash links """	0
340	340	"loud bitches annoy me"""	1
341	341	"Eventually every bitch turns into that hoe."" # Truuu"	1
342	342	""": "": I swear if oomf try talking to me tomorrow.."" @"" "" pussy"	1
343	343	"You bitches be pretending to be TF crazy.."" You ain't never lied..."	1
344	344	"k bye hoe"" um bye .."	1
345	345	"Jackies a retard #blondeproblems"" At least I can make a grilled cheese!"	1
346	346	"ima keep on giving these pussy ass niggas ah reason to hate !"""	1
347	347	"Photo: "" he is in sole heaven"	0
348	348	"Stacey Dash won  "" baddest bitch evaaaa"	1
349	349	"Side bitch Sunday """	1
350	350	"Facts what baldheaded bitch made this shit.  ""Lmao"	1
351	351	"Fuck wit us and then we tweakin hoe"" shmurda!"	1
352	352	"We actin like it's the 7th day  ""spook"	0
353	353	"I'll break that lil bitch neck and won't even feel sorry about it"" Savage"	1
354	354	"This is so fucking hot!! #scally #sneakersex #sockfetish #sniff #trainersex "" love me some kinky scallies"	1
355	355	"Y'all dumb ass niggas be so pressed to have hoes. Y'all weak as fuck as fuck"" ...weed over hoes, oreos too."	1
356	356	"I can turn yo bitch into a eaterrrrrrrrr"""	1
357	357	"I don't trust dese hoes Nikki told 51st where I stay at all my fans screen shot ASAP"" we finna come to Chiraq and shoot sumn"	1
358	358	": Aye yall ima tryout for the bowling team frfr tryouts passed tho"" no theres two more retard"	1
359	359	"Now u got what u want bitch ! Enjoy it "" now this is a crazy party I would love to attend."	1
360	360	"colored contacts in your eyes?blinders on mine.cause i can't see you at all."" Lmao"	0
361	361	"Facts "": Only the dudes with hoes say they don't got hoes"""	1
362	362	"I'm rea start smacking bitches period !"" Bluffin at its best"	1
363	363	"Lifes a bitch, and then you die Thats why we get high, cause you neva know when you're gonna go"" my sister is perfect (:"	1
364	364	"One of us is on drugs, and its me but you're still wrong  "" hahahahahahah im a bitch sometimes (:"	1
365	365	"I'm feeling pretty fuckin ghetto"" Smh"	1
366	366	""": "": "":  swears I'm #1 man"" easily"" easily"" behind Austin"" nip?"	0
367	367	"This is a true ride or die bitch  "" what the fuck hahahahah"	1
368	368	"H.G.Wells and Charlie Chaplin "" #History #Photography"	0
369	369	"All I see is Bruno's bitch ass on my twitter now. wtf"" Bruno's all that she sees (Drake voice)"	1
370	370	"I'm about to cool faggot chill"" tf is cool nigga"	1
371	371	"I'm so sure bitch"" frfr tf"	1
372	372	"Twitter is not a source of news broadcast you fucking retards"" it is when nbc, abc, cnn, Fox, etc are all keeping quiet."	1
373	373	"Got a couple bitches saying they know me But Ima let the money talk for me "" AND I'M LIKE... #WWYD"	1
374	374	"Grudges are for weirdos""and bitches"	1
375	375	"I told Mariam to but cigarettes for her birthday""You also called me trash rn"	0
376	376	"brownies tonight"" what kind?!?!"	0
377	377	"No text back? I don't give a fuck, I'll text another bitch"" damn someone is hurt lol"	1
378	378	"Ummmmmm okay "" you got hoes from left to right  do yah thang!"	1
379	379	"using y=mx+b to find the slope of that ass"""	1
380	380	"Fit lads! Nice gear! "" these scally lads n trainers would get it"	0
381	381	"Hell yeah bro! "" fuck yeah sexy scally lad in hot gear"	1
382	382	"Helping out a mate!! "" I love scally play. Fuck yeah"	1
383	383	"Lads being Lads! "" fuck yeah. I love scally lad action. Hot trainers too."	1
384	384	"Next year bitches is gonna be like you gotta promise you won't expose me """	1
